id,x,y,time,height,totalSeeds,seedA,seedB,seedC,seedD
A,1595426.057,572489.7446,1,9,56,26,18,2,10
A,1594933.375,572380.7942,3,9,69,33,22,3,11
A,1595149.585,572480.8573,3,8,48,23,15,2,8
A,1595023.815,572448.2181,3,9,49,23,15,2,9
A,1595039.18,572432.7544,6,8,73,34,23,3,13
A,1595112.604,572388.6155,6,8,65,31,20,3,11
A,1595201.374,572469.6997,6,8,39,18,12,2,7
A,1595152.088,572391.0016,6,10,52,25,16,2,9
A,1595249.955,572612.8721,6,8,52,25,16,2,9
A,1595060.775,572542.4133,7,7,46,22,14,2,8
A,1595107.939,572398.3344,7,7,49,23,15,2,9
A,1595202.744,572483.3926,7,7,47,22,15,2,8
A,1595102.934,572578.0462,7,8,53,25,17,2,9
A,1595151.96,572402.7239,7,9,49,23,15,2,9
A,1595001.689,572526.1356,7,8,57,27,18,2,10
A,1595258.45,572530.8976,7,9,45,21,14,2,8
A,1595317.15,572443.6107,7,10,41,19,13,2,7
A,1595441.465,572470.3735,10,10,37,17,12,2,6
A,1595321.794,572435.8459,10,8,64,30,20,3,11
A,1595314.196,572435.7627,10,8,75,35,23,3,14
A,1595151.96,572402.7239,10,9,56,26,18,2,10
A,1595026.811,572452.1589,14,7,55,26,17,2,10
A,1595112.991,572492.1807,14,9,72,34,23,3,12
A,1595104.986,572390.4864,14,8,52,25,16,2,9
A,1595153.973,572496.537,14,8,50,24,16,2,8
A,1595434.403,572560.1793,14,7,44,21,14,2,7
A,1595150.526,572394.8921,14,9,42,20,13,2,7
A,1595106.505,572390.503,17,8,64,30,20,3,11
A,1595144.298,572408.5019,22,10,52,25,16,2,9
A,1595213.186,572362.3599,22,8,51,24,16,2,9
A,1595126.834,572337.9676,31,7,40,19,13,2,6
A,1595207.217,572491.2576,31,10,59,28,18,2,11
A,1595096.125,572366.9414,31,9,60,28,19,2,11
A,1595221.125,572331.183,42,9,45,21,14,2,8
A,1595137.77,572310.7314,42,7,67,32,21,3,11
A,1595240.279,572386.1041,42,10,57,27,18,2,10
A,1595184.252,572367.9053,42,10,57,27,18,2,10
A,1595048.959,572372.2878,52,10,53,25,17,2,9
A,1595085.919,572466.4831,52,9,43,20,13,2,8
A,1595112.371,572548.8397,52,7,55,26,17,2,10
A,1595068.33,572546.4039,52,9,44,21,14,2,7
A,1595110.209,572468.7025,52,7,57,27,18,2,10
A,1595077.638,572528.9198,52,10,48,23,15,2,8
A,1595094.456,572380.601,52,7,40,19,13,2,6
A,1595101.156,572462.7417,52,7,67,32,21,3,11
B,1595448.848,572628.727,9,5,36,3,12,19,2
B,1595369.604,572649.3534,9,5,26,2,9,14,1
B,1595456.36,572636.6253,9,7,24,2,8,13,1
B,1595422.483,572538.5552,10,8,22,2,7,12,1
B,1595403.48,572608.6905,10,9,40,4,13,21,2
B,1595433.911,572605.1157,10,6,39,3,13,21,2
B,1595437.527,572552.3978,10,5,18,1,6,10,1
B,1595409.408,572622.4333,13,7,34,3,11,18,2
B,1595404.914,572616.5219,17,7,39,3,13,21,2
B,1595426.784,572562.0501,17,9,26,2,9,14,1
B,1595448.763,572636.5421,17,7,33,3,11,17,2
B,1595315.375,572605.7719,20,6,33,3,11,17,2
B,1595475.877,572519.5997,20,9,25,3,8,13,1
B,1595418.588,572477.9391,20,6,44,5,14,23,2
B,1595427.127,572530.79,20,9,31,3,10,16,2
B,1595462.073,572531.1727,20,6,42,4,14,22,2
B,1595326.161,572592.2121,20,9,54,4,18,29,3
B,1595487.797,572541.2242,24,5,43,4,14,23,2
B,1595488.161,572646.7434,24,4,48,5,16,25,2
B,1595456.339,572638.5789,24,9,24,2,8,13,1
B,1595428.133,572577.6966,31,9,44,5,14,23,2
B,1595429.695,572573.8057,31,7,46,5,15,24,2
B,1595305.874,572640.8398,31,6,41,4,13,22,2
B,1595428.261,572565.9743,34,9,39,3,13,21,2
B,1595427.811,572468.2702,34,10,44,5,14,23,2
B,1595371.337,572629.8322,41,9,32,3,10,17,2
B,1595471.661,572488.2901,41,9,34,3,11,18,2
B,1595406.369,572622.4,41,7,32,3,10,17,2
B,1595494.709,572465.0947,41,6,41,4,13,22,2
B,1595325.733,572631.2873,41,6,26,2,9,14,1
B,1595415.42,572350.8953,45,4,29,4,9,15,1
B,1595419.08,572433.0028,45,8,31,3,10,16,2
B,1595417.56,572432.9861,45,9,17,1,6,9,1
B,1595427.683,572479.9925,45,9,48,5,16,25,2
B,1595428.24,572567.9279,45,9,37,3,12,20,2
B,1595287.705,572634.7791,48,10,33,3,11,17,2
B,1595322.737,572627.3464,48,6,46,5,15,24,2
B,1595261.467,572532.8848,48,5,33,3,11,17,2
B,1595451.609,572654.1588,48,9,43,4,14,23,2
B,1595231.957,572591.1812,48,8,34,3,11,18,2
B,1595518.827,572482.9444,52,9,28,3,9,15,1
B,1595449.19,572458.7341,52,6,36,3,12,19,2
B,1595422.183,572427.1749,55,6,35,4,11,18,2
B,1595421.413,572636.2427,55,9,36,3,12,19,2
B,1595488.268,572636.9747,59,10,20,1,7,11,1
C,1596637.311,572616.3657,13,3,15,0,0,12,3
C,1596661.643,572614.6791,13,5,26,0,1,20,5
C,1596697.035,572712.7675,13,5,24,0,0,19,5
C,1596692.691,572693.18,13,4,20,0,1,15,4
C,1596703.241,572701.112,13,5,26,0,1,20,5
C,1596706.789,572792.988,17,2,18,0,0,14,4
C,1596685.754,572771.2631,17,5,25,0,1,19,5
C,1596743.255,572793.3891,17,4,18,0,0,14,4
C,1596787.425,572784.1051,17,3,23,0,0,18,5
C,1596678.909,572702.7983,20,2,23,0,0,18,5
C,1596737.113,572799.1838,20,3,12,0,0,9,3
C,1596665.572,572810.1207,20,2,17,0,0,13,4
C,1596700.626,572800.7363,24,4,25,0,1,19,5
